,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Porto-Novo,40,BJ,1605074469,94,6.5,2.6,78.8,3.36
1,Albany,0,US,1605074362,69,42.6,-73.97,61.0,5.7
2,Gumdag,100,TM,1605074472,69,39.21,54.59,56.08,5.55
3,Ereymentau,100,KZ,1605074474,94,51.62,73.1,36.16,27.67
4,Arraial do Cabo,97,BR,1605074337,94,-22.97,-42.03,72.97,7.63
5,New Norfolk,50,AU,1605074297,25,-42.78,147.06,90.0,4.0
6,East London,20,ZA,1605074376,77,-33.02,27.91,62.6,3.36
7,Ajdabiya,1,LY,1605074478,83,30.76,20.23,62.67,5.14
8,Rikitea,0,PF,1605074308,77,-23.12,-134.97,73.47,19.95
9,Punta Arenas,40,CL,1605074305,87,-53.15,-70.92,50.0,5.82
10,Östersund,90,SE,1605074482,100,63.18,14.64,28.4,4.7
11,Chokurdakh,91,RU,1605074483,92,70.63,147.92,-7.08,0.81
12,Narsaq,100,GL,1605074118,92,60.92,-46.05,20.52,4.9
13,Ushuaia,40,AR,1605074293,61,-54.8,-68.3,48.2,10.29
14,Carnarvon,0,AU,1605074347,49,-24.87,113.63,73.4,19.46
15,Dali,6,CN,1605074488,44,25.7,100.18,67.01,0.98
16,Baraboo,90,US,1605074398,89,43.47,-89.74,36.0,20.8
17,Bambous Virieux,40,MU,1605074491,69,-20.34,57.76,79.0,13.87
18,Hobart,0,AU,1605074142,25,-42.88,147.33,91.99,13.87
19,Upernavik,100,GL,1605074372,91,72.79,-56.15,12.78,3.6
20,Kapaa,40,US,1605074349,78,22.08,-159.32,78.8,19.46
21,Serenje,49,ZM,1605074495,37,-13.23,30.24,79.14,8.01
22,Constitución,25,CL,1605074497,92,-35.33,-72.42,51.51,2.26
23,Cape Town,0,ZA,1605074153,71,-33.93,18.42,64.99,3.36
24,Khanbari,0,NP,1605074499,31,27.37,87.2,78.91,4.34
25,Provideniya,75,RU,1605074395,86,64.38,-173.3,33.8,6.71
26,Vaini,20,TO,1605074335,74,-21.2,-175.2,78.8,9.17
27,Evensk,43,RU,1605074502,84,61.95,159.23,0.36,8.39
28,Bluff,58,NZ,1605074371,78,-46.6,168.33,55.99,8.99
29,Dikson,29,RU,1605074407,94,73.51,80.55,6.01,15.26
30,Adrar,0,MR,1605074392,22,20.5,-10.07,72.97,3.94
31,Klaksvík,100,FO,1605074507,81,62.23,-6.59,44.6,14.99
32,Ixtapa,57,MX,1605074508,86,20.7,-105.2,77.0,1.72
33,Tatvan,75,TR,1605074509,100,38.51,42.28,39.2,1.12
34,São João da Barra,100,BR,1605074510,91,-21.64,-41.05,73.33,11.9
35,Dzidzantun,93,MX,1605074512,94,21.25,-89.05,74.75,5.46
36,Husavik,90,IS,1605074513,92,66.04,-17.34,32.0,5.82
37,Būkān,79,IR,1605074514,64,36.52,46.21,53.51,1.59
38,Nelson Bay,20,AU,1605074275,50,-32.72,152.15,78.8,14.99
39,Río Gallegos,0,AR,1605074329,87,-51.62,-69.22,44.6,2.24
40,Avarua,3,CK,1605074313,83,-21.21,-159.78,77.0,11.41
41,Buta,100,CD,1605074518,95,2.79,24.73,72.36,1.68
42,Ipswich,90,GB,1605074520,100,52.06,1.16,50.0,5.82
43,Tugulym,75,RU,1605074521,86,57.06,64.64,26.6,13.42
44,Beringovskiy,61,RU,1605074522,92,63.05,179.32,21.09,16.46
45,San Joaquin,1,US,1605074523,49,37.93,-121.3,48.99,5.82
46,Khandyga,97,RU,1605074524,92,62.67,135.6,-3.71,2.04
47,Kulhudhuffushi,87,MV,1605074526,67,6.62,73.07,83.26,4.27
48,Khatanga,88,RU,1605074527,92,71.97,102.5,-4.59,4.79
49,Dābhol,0,IN,1605074528,39,17.6,73.17,81.93,5.32
50,Souillac,40,MU,1605074433,69,-20.52,57.52,78.8,13.87
51,Bathsheba,75,BB,1605074382,88,13.22,-59.52,77.0,16.11
52,Kahului,40,US,1605074389,78,20.89,-156.47,77.0,13.87
53,Hithadhoo,63,MV,1605074387,68,-0.6,73.08,84.6,7.0
54,Flin Flon,98,CA,1605074534,95,54.77,-101.86,11.64,2.15
55,Port Alfred,93,ZA,1605074371,70,-33.59,26.89,64.6,7.67
56,Chui,73,UY,1605074536,89,-33.7,-53.46,59.99,8.75
57,Bengkulu,69,ID,1605074129,68,-3.8,102.27,85.86,11.25
58,Busselton,89,AU,1605074366,68,-33.65,115.33,60.01,1.01
59,Chitungwiza,10,ZW,1605074540,59,-18.01,31.08,73.0,3.0
60,Padang,99,ID,1605074344,65,-0.95,100.35,86.67,6.64
61,Saint-Philippe,0,RE,1605074363,57,-21.36,55.77,82.4,5.82
62,Bhādra,0,IN,1605074543,20,29.12,75.17,81.64,5.61
63,Kudahuvadhoo,61,MV,1605074393,73,2.67,72.89,83.52,8.68
64,The Valley,40,AI,1605074545,94,18.22,-63.06,75.2,5.82
65,George Town,40,MY,1605074365,70,5.41,100.34,87.8,9.17
66,Fairbanks,20,US,1605074548,85,64.84,-147.72,21.99,2.24
67,Bredasdorp,1,ZA,1605074307,87,-34.53,20.04,53.6,9.4
68,Negara,95,ID,1605074550,66,-8.32,114.6,85.98,1.99
69,Kyra,45,RU,1605074551,81,49.58,111.98,35.65,2.89
70,Pangnirtung,7,CA,1605074552,81,66.15,-65.71,7.39,5.39
71,Isla Mujeres,75,MX,1605074554,88,21.23,-86.73,77.0,6.93
72,San Patricio,20,US,1605074555,82,28.02,-97.52,72.0,4.7
73,Jamestown,1,US,1605074390,67,42.1,-79.24,63.0,10.29
74,Kampene,100,CD,1605074346,98,-3.6,26.67,68.88,2.68
75,Hilo,90,US,1605074371,83,19.73,-155.09,75.2,4.7
76,Salaga,95,GH,1605074559,82,8.55,-0.52,75.69,3.02
77,Atuona,4,PF,1605074312,76,-9.8,-139.03,78.33,20.49
78,Hermanus,0,ZA,1605074381,71,-34.42,19.23,63.0,8.01
79,Portland,44,US,1605073832,86,45.52,-122.68,45.0,2.46
80,San Cristobal,65,VE,1605074564,92,7.77,-72.22,65.35,2.42
81,Ambulu,51,ID,1605074565,74,-8.35,113.61,84.56,6.78
82,Grand Gaube,4,MU,1605074566,66,-20.01,57.66,79.0,11.01
83,Sarai Naurang,87,PK,1605074567,17,32.83,70.78,78.4,1.32
84,Hirara,75,JP,1605074568,88,24.8,125.28,73.4,17.22
85,Castro,98,BR,1605074268,94,-24.79,-50.01,61.09,2.64
86,Clyde River,90,CA,1605074571,78,70.47,-68.59,17.6,21.92
87,Makkah al Mukarramah,1,SA,1605074498,64,21.43,39.83,81.46,3.85
88,Thompson,90,CA,1605074573,92,55.74,-97.86,12.2,3.36
89,Gizo Government Station,62,SB,1605074574,69,-8.1,156.84,84.76,5.59
90,Severo-Kuril'sk,29,RU,1605074321,77,50.68,156.12,36.25,7.65
91,Ribeira Grande,86,PT,1605074364,63,38.52,-28.7,60.26,15.73
92,Qaanaaq,0,GL,1605074013,61,77.48,-69.36,-1.95,2.57
93,Pacific Grove,20,US,1605074382,65,36.62,-121.92,46.99,4.7
94,Killybegs,100,IE,1605074580,93,54.63,-8.45,55.0,11.99
95,Sørland,75,NO,1605074581,93,67.67,12.69,48.2,6.93
96,Jérémie,53,HT,1605074582,77,18.65,-74.12,78.87,1.41
97,Bandarbeyla,67,SO,1605074583,64,9.49,50.81,81.01,17.47
98,Carutapera,67,BR,1605074369,89,-1.2,-46.02,76.84,3.31
99,Kavieng,65,PG,1605074315,70,-2.57,150.8,84.42,6.85
100,Tessalit,0,ML,1605074587,27,20.2,1.01,66.96,11.65
101,Mar del Plata,0,AR,1605074216,93,-38.0,-57.56,63.0,9.15
102,Tura,0,IN,1605074439,42,25.52,90.22,82.92,0.83
103,Kachug,100,RU,1605074590,83,53.96,105.88,34.97,12.3
104,Puerto Ayora,95,EC,1605074320,87,-0.74,-90.35,69.01,5.01
105,Kruisfontein,8,ZA,1605074397,87,-34.0,24.73,60.01,1.01
106,Makakilo City,1,US,1605074594,65,21.35,-158.09,80.6,8.05
107,Harper,98,LR,1605074595,88,4.38,-7.72,77.47,8.77
108,Mataura,18,NZ,1605074299,78,-46.19,168.86,55.99,8.99
109,Villazón,0,BO,1605074597,70,-22.09,-65.59,48.85,7.05
110,Dunedin,55,NZ,1605074192,76,-45.87,170.5,55.0,1.99
111,Stolin,47,BY,1605074599,93,51.89,26.85,33.37,3.06
112,Itoman,75,JP,1605074601,64,26.12,127.67,75.2,12.75
113,Tiksi,100,RU,1605074602,94,71.69,128.87,1.92,8.97
114,Creel,0,MX,1605074603,82,27.75,-107.63,38.01,1.68
115,Yellowknife,75,CA,1605074327,77,62.46,-114.35,-2.2,6.93
116,Ostrovnoy,99,RU,1605074474,92,68.05,39.51,34.48,16.02
117,Port Blair,13,IN,1605074606,70,11.67,92.75,83.88,15.28
118,Nur-Sultan,90,KZ,1605074607,86,51.18,71.45,33.8,22.37
119,Butaritari,23,KI,1605074351,79,3.07,172.79,82.24,9.62
120,Bethel,1,US,1605074120,87,41.37,-73.41,61.0,3.36
121,Muhororo,74,UG,1605074611,75,0.94,30.76,71.87,0.43
122,Nur,82,PL,1605074612,91,52.67,22.32,35.91,7.09
123,Bristol,0,US,1605074613,93,41.83,-71.17,61.0,1.99
124,Hwange,70,ZW,1605074374,46,-18.37,26.5,82.8,7.74
125,Port Elizabeth,0,ZA,1605074291,93,-33.92,25.57,60.8,6.93
126,Vardø,40,NO,1605074617,80,70.37,31.11,32.0,8.05
127,Nikolskoye,75,RU,1605074450,100,59.7,30.79,32.0,2.8
128,Laas,5,IT,1605074619,93,46.62,10.7,39.0,8.05
129,Nybro,90,SE,1605074620,81,56.74,15.91,45.0,6.93
130,Sitka,1,US,1605074621,79,57.05,-135.33,32.0,4.7
131,Longyearbyen,75,SJ,1605074325,80,78.22,15.64,35.6,13.87
132,Aasiaat,96,GL,1605074624,93,68.71,-52.87,10.09,5.08
133,Hong Kong,0,HK,1605074416,59,22.29,114.16,80.01,3.0
134,Boende,97,CD,1605074626,90,-0.22,20.87,71.67,1.21
135,Hasaki,20,JP,1605074520,44,35.73,140.83,60.01,8.05
136,Talnakh,40,RU,1605074381,84,69.49,88.4,1.4,6.71
137,Idah,77,NG,1605074629,89,7.11,6.73,74.39,1.14
138,Katobu,59,ID,1605074631,64,-4.94,122.53,88.43,2.75
139,Touros,75,BR,1605074632,88,-5.2,-35.46,73.4,4.7
140,Purpe,82,RU,1605074633,87,64.48,76.69,1.0,5.68
141,Saint Paul Harbor,90,US,1605074452,93,57.79,-152.41,44.6,11.41
142,Tecolotlán,72,MX,1605074635,89,20.22,-104.05,59.0,1.99
143,Honiara,75,SB,1605074636,66,-9.43,159.95,89.6,9.17
144,Mozarlândia,26,BR,1605074637,67,-14.74,-50.57,76.28,5.26
145,Daru,85,PG,1605074639,72,-9.08,143.21,82.09,12.26
146,São Félix do Xingu,47,BR,1605074439,93,-6.64,-51.99,71.42,0.58
147,Bekovo,35,RU,1605074641,92,52.47,43.71,31.03,14.09
148,Geraldton,100,AU,1605074642,46,-28.77,114.6,69.8,12.75
149,Jagüey Grande,75,CU,1605074643,100,22.53,-81.13,77.0,9.17
150,Savannakhet,75,LA,1605074644,64,16.57,104.75,75.2,4.7
151,La Ronge,100,CA,1605074587,92,55.1,-105.28,23.0,9.17
152,Boueni,75,YT,1605074646,70,-12.9,45.08,84.2,10.29
153,Lompoc,1,US,1605074648,61,34.64,-120.46,51.8,3.36
154,Valparaíso,91,CL,1605074443,78,-33.04,-71.63,57.0,2.37
155,Bima,97,ID,1605074650,41,-8.47,118.72,94.91,4.65
156,Katsuura,40,JP,1605074157,38,35.13,140.3,63.0,17.22
157,Marzuq,0,YE,1605074652,32,14.4,46.47,74.77,5.1
158,Bud,90,US,1605074653,76,39.45,-86.18,55.99,8.05
159,Shakawe,95,BW,1605074654,52,-18.37,21.85,77.92,5.01
160,Barrow,90,US,1605074328,78,71.29,-156.79,15.8,25.28
161,Santa Cruz de la Sierra,97,BO,1605074657,94,-17.8,-63.17,71.6,9.17
162,North Bend,90,US,1605074630,93,43.41,-124.22,48.2,4.7
163,Port Hedland,0,AU,1605074659,18,-20.32,118.57,96.8,20.8
164,Kaitangata,45,NZ,1605074430,72,-46.28,169.85,55.99,13.0
165,College,75,US,1605074427,85,64.86,-147.8,23.0,3.36
166,Aklavik,100,CA,1605074662,83,68.22,-135.01,-2.2,9.17
167,Half Moon Bay,90,US,1605074453,76,37.46,-122.43,55.4,4.7
168,Benjamín Aceval,63,PY,1605074665,100,-24.97,-57.57,66.2,2.24
169,Mercedes,52,AR,1605074666,81,-34.65,-59.43,64.99,1.01
170,Natá,50,PA,1605074667,90,8.33,-80.52,72.0,6.38
171,Tasiilaq,100,GL,1605074668,97,65.61,-37.64,30.09,21.92
172,Salalah,0,OM,1605074400,61,17.02,54.09,82.4,2.24
173,Chabahar,0,IR,1605074670,62,25.29,60.64,78.87,7.99
174,Coquimbo,75,CL,1605074672,87,-29.95,-71.34,55.4,5.82
175,Naze,40,JP,1605074673,47,28.37,129.48,75.2,16.11
176,Balclutha,47,NZ,1605074674,73,-46.23,169.75,55.0,8.99
177,Saint-Augustin,100,CA,1605074675,76,51.23,-58.65,36.66,10.38
178,Bairiki Village,40,KI,1605074676,79,1.33,172.98,84.2,9.17
179,Lavrentiya,100,RU,1605074677,94,65.58,-171.0,32.77,6.2
180,Margate,57,GB,1605074678,94,51.38,1.39,51.01,1.99
181,Sola,91,VU,1605074680,76,-13.88,167.55,80.17,8.28
182,Iskateley,100,RU,1605074681,98,67.68,53.15,28.92,20.27
183,Taksimo,58,RU,1605074682,94,56.34,114.88,28.49,0.72
184,Queanbeyan,40,AU,1605074584,41,-35.35,149.23,80.01,16.11
185,Stornoway,100,GB,1605074684,100,58.21,-6.39,46.99,6.93
186,Beyneu,0,KZ,1605074685,64,45.32,55.2,40.15,12.41
187,Necochea,45,AR,1605074687,80,-38.55,-58.74,61.0,7.0
188,Mahébourg,40,MU,1605074386,69,-20.41,57.7,78.8,13.87
189,Lebyazh'ye,100,RU,1605074689,97,55.27,66.49,27.95,10.92
190,Manokwari,97,ID,1605074462,68,-0.87,134.08,85.06,2.46
191,Vila Velha,40,BR,1605074691,83,-20.33,-40.29,77.0,11.41
192,Leningradskiy,100,RU,1605074692,97,69.38,178.42,24.96,23.35
193,Coyhaique,0,CL,1605074164,87,-45.58,-72.07,50.0,2.04
194,Arman',0,RU,1605074694,84,59.7,150.17,2.05,7.49
195,Lebu,32,CL,1605074696,95,-37.62,-73.65,50.95,8.97
196,Vila Franca do Campo,20,PT,1605074437,72,37.72,-25.43,59.0,19.46
197,Kirksville,40,US,1605074444,74,40.19,-92.58,33.8,10.29
198,Saint-François,90,FR,1605074699,100,46.42,3.91,46.4,1.43
199,Faanui,93,PF,1605074454,75,-16.48,-151.75,79.29,12.08
200,Poienile de sub Munte,56,RO,1605074701,83,47.82,24.43,39.63,1.01
201,Koumac,100,NC,1605074702,77,-20.57,164.28,73.85,13.69
202,União,20,BR,1605074583,83,-4.59,-42.86,78.8,4.7
203,Hambantota,40,LK,1605074706,70,6.12,81.12,87.8,6.93
204,Bonavista,74,CA,1605074707,81,48.65,-53.11,54.0,11.41
205,Lagoa,98,PT,1605074481,61,39.05,-27.98,60.64,12.77
206,Pevek,100,RU,1605074709,96,69.7,170.31,21.15,16.2
207,Umluj,0,SA,1605074526,44,25.02,37.27,78.12,13.09
208,Alice Springs,0,AU,1605074484,12,-23.7,133.88,96.8,9.17
209,Ribeira Brava,75,PT,1605074713,64,32.65,-17.07,68.0,8.05
210,Badvel,40,IN,1605074714,65,14.75,79.05,80.6,8.52
211,Muş Province,75,TR,1605074715,100,39.0,41.75,39.2,1.12
212,Oskemen,75,KZ,1605074716,65,49.96,82.61,44.6,22.37
213,Cockburn Town,100,TC,1605074717,76,21.46,-71.14,81.79,26.11
214,Impfondo,90,CG,1605074719,91,1.64,18.07,72.12,0.54
215,Tezu,0,IN,1605074720,35,27.92,96.17,83.91,3.18
216,Leeton,100,AU,1605074721,17,-34.57,146.4,93.2,18.34
217,Bowen,40,AU,1605074722,54,-20.02,148.23,82.4,16.11
218,Verkhoyansk,89,RU,1605074723,85,67.54,133.38,-13.72,1.95
219,Tarko-Sale,73,RU,1605074724,87,64.92,77.78,1.0,7.43
220,Lorengau,98,PG,1605074725,64,-2.02,147.27,85.55,4.56
221,Bata,40,GQ,1605074727,100,1.86,9.77,75.2,3.36
222,Fortuna,1,US,1605074728,100,40.6,-124.16,42.01,4.07
223,Weinan,0,CN,1605074729,45,34.5,109.51,62.6,8.95
224,Banamba,0,ML,1605074730,25,13.55,-7.45,67.78,7.85
225,Benguela,91,AO,1605074731,77,-12.58,13.41,77.32,2.19
226,Bow Island,100,CA,1605074732,92,49.87,-111.37,26.6,18.34
227,Bilma,1,NE,1605074527,41,18.69,12.92,62.82,10.07
228,Colwyn Bay,100,GB,1605074735,89,53.29,-3.73,52.0,7.0
229,Roebourne,0,AU,1605074736,17,-20.78,117.13,97.27,20.27
230,Olinda,40,BR,1605074594,78,-8.01,-34.86,78.8,8.05
231,Keti Bandar,0,PK,1605074738,28,24.14,67.45,87.31,5.19
232,Port Macquarie,0,AU,1605074449,50,-31.43,152.92,78.8,17.22
233,Cayenne,90,GF,1605074741,100,4.93,-52.33,75.2,2.24
234,San Quintín,0,MX,1605074742,15,30.48,-115.95,44.01,5.99
235,Morondava,4,MG,1605074743,63,-20.28,44.28,84.02,5.55
236,Sémbé,84,CG,1605074744,86,1.65,14.58,71.83,0.89
237,Lichuan,0,CN,1605074745,38,30.3,108.85,63.97,4.76
238,São Filipe,0,CV,1605074746,74,14.9,-24.5,78.48,3.67
239,Guerrero Negro,0,MX,1605074748,53,27.98,-114.06,59.67,6.49
240,Oparino,100,RU,1605074749,95,59.85,48.28,28.99,10.45
241,Dwārka,0,IN,1605074436,34,22.24,68.97,85.26,9.69
242,Jiquipilas,5,MX,1605074751,88,16.67,-93.65,69.8,2.24
243,Araouane,0,ML,1605074752,21,18.9,-3.53,73.33,7.7
244,Peñarroya-Pueblonuevo,20,ES,1605074753,87,38.3,-5.27,50.0,4.7
245,Maryborough,0,AU,1605074755,53,-25.53,152.7,79.0,5.01
246,Arys,40,KZ,1605074756,81,42.43,68.8,46.4,5.19
247,Sīra,100,IN,1605074757,52,13.75,76.91,77.52,10.85
248,Dingle,100,PH,1605074758,83,11.0,122.67,81.82,13.24
249,Viedma,99,AR,1605074354,90,-40.81,-63.0,60.01,7.07
250,Batemans Bay,7,AU,1605074760,46,-35.72,150.18,80.01,5.99
251,Saldanha,18,ZA,1605074762,76,-33.01,17.94,53.6,4.7
252,Sharon,75,US,1605074512,52,41.23,-80.49,69.8,12.75
253,Itarema,94,BR,1605074764,70,-2.92,-39.92,81.64,14.97
254,Esperance,90,AU,1605074434,77,-33.87,121.9,60.8,13.87
255,Agüimes,20,ES,1605074766,77,27.91,-15.45,68.0,9.17
256,Petropavlovsk-Kamchatskiy,85,RU,1605074767,50,53.05,158.65,30.2,2.24
257,San Miguel de Tucumán,90,AR,1605074636,94,-26.82,-65.22,68.0,4.81
258,Mindelo,40,CV,1605074770,83,16.89,-24.98,75.2,9.17
259,Vostok,1,RU,1605074505,87,46.49,135.88,24.35,3.42
260,Marau,99,BR,1605074494,95,-28.45,-52.2,61.88,2.77
261,West Wendover,1,US,1605074774,58,40.74,-114.07,30.2,6.93
262,Mildura,52,AU,1605074775,24,-34.2,142.15,90.0,16.11
263,Nipawin,90,CA,1605074776,92,53.37,-104.0,8.6,5.82
264,Kédougou,0,SN,1605074777,49,12.56,-12.17,71.28,1.54
265,Solwezi,70,ZM,1605074778,76,-12.17,26.39,71.26,3.42
266,Ruteng,71,ID,1605074780,80,-8.61,120.47,75.49,1.66
267,Ubari,19,LY,1605074781,48,26.59,12.78,53.89,4.0
268,Ilulissat,94,GL,1605074782,92,69.22,-51.1,5.05,2.86
269,Louis Trichardt,64,ZA,1605074783,71,-23.04,29.9,65.35,11.03
270,Caravelas,21,BR,1605074488,87,-17.71,-39.25,72.68,6.51
271,Dhupgāri,0,IN,1605074785,38,26.59,89.01,84.78,2.37
272,Cidreira,94,BR,1605074786,97,-30.18,-50.21,67.53,3.18
273,Hamilton,90,US,1605074267,93,39.18,-84.53,66.99,12.75
274,Ratnagiri,1,IN,1605074789,40,16.98,73.3,82.83,6.62
275,Vermilion,90,US,1605074790,87,40.17,-87.75,50.0,16.11
276,Khovd,0,MN,1605074791,61,48.01,91.64,36.88,2.66
277,Mankono,88,CI,1605074792,85,8.06,-6.19,72.72,2.35
278,Aykino,99,RU,1605074559,95,62.22,49.99,27.01,8.72
279,Ciudad del Carmen,0,MX,1605074794,75,18.63,-91.83,76.14,1.21
280,Ulladulla,20,AU,1605074796,65,-35.35,150.47,80.01,12.75
281,Ilfracombe,100,GB,1605074797,92,51.21,-4.11,54.0,8.01
